Team Id,Team Name,Candidate Type,Candidate's Name,Candidate's Email,Candidate's Mobile,Candidate's Gender,Country,Course Pursuing,Course Stream,Specialization,Year Of Study,Passing Out Year,Candidate's Organisation,Registration Time
UT0V02H2,Quia eaque,team leader,Tiya Krishnamurthy,tiyakrishnamurthy@example.com,8421266071,M,India,Engineering,B.Tech/BE,Computer Science,First Year,2027,"Amity University (AU), Gwalior, Madhya Pradesh",2024-02-24 21:21:08
UQI949V6,Ab eius,team member,Krish Madan,krishmadan@example.com,04823927726,M,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,Sister Nivedita University (SNU),2024-02-24 22:04:56
UQI949V6,Ab eius,team member,Shlok Varughese,shlokvarughese@example.com,02196306734,M,India,Engineering,B.Tech/BE,Computer Science,First Year,2025,"Indian Institute of Technology (IIT), Patna",2024-02-24 22:04:56
UQI949V6,Ab eius,team leader,Aaryahi Gara,aaryahigara@example.com,9207423064,M,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,Sister Nivedita University (SNU),2024-02-24 22:03:42
U486J3FV,Illo impedit,team leader,Ahana  Gokhale,ahanagokhale@example.com,5318661231,M,India,,,,,,Ms Enterprise,2024-02-24 22:15:45
UQ2F9S53,Ex sapiente,team leader,Anahi Varghese,anahivarghese@example.com,+912336154745,F,India,,,,,,"Subodh Public School, Rambagh, Jaipur",2024-02-24 23:28:36
US7D3J53,Labore aliquid,team leader,Eshani Kunda,eshanikunda@example.com,08716251234,M,India,,,,,2022,Ramanand Arya D.A.V. College,2024-02-25 0:11:06
UZ6Q50L1,Cupiditate accusamus,team leader,Ivana Baria,ivanabaria@example.com,7951352026,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 7:56:25
U587XYP7,Distinctio fugit,team leader,Zeeshan Shetty,zeeshanshetty@example.com,09450753210,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 8:47:13
UE3XM085,Repellendus at,team leader,Ira Baral,irabaral@example.com,+916378372357,M,India,Engineering,B.Tech/BE,,,2023,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad",2024-02-25 8:53:51
UE3XM085,Repellendus at,team member,Reyansh Grewal,reyanshgrewal@example.com,+913527441263,M,India,Engineering,B.Tech/BE,Electronics and Communication,,2023,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad",2024-02-25 8:56:41
UWXR5765,Aperiam eaque,team leader,Shalv Chakraborty,shalvchakraborty@example.com,6839250990,M,India,Engineering,B.Tech/BE,Electronics and Communication,First Year,2027,"Govind Ballabh Pant Engineering College, Pauri (GBPEC)",2024-02-25 9:28:02
U746I7EV,Velit quae,team leader,Tanya Chawla,tanyachawla@example.com,05756579507,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,"Vignan's Institute of Information Technology (VIIT), Duvvada, Visakhapatnam",2024-02-25 9:33:17
UTA4790P,Totam quos,team leader,Arnav Saraf,arnavsaraf@example.com,8294195498,M,India,"Arts, Science & Commerce",Company Secretary,Commerce,Second Year,2026,Institute of Company Secretaries of India,2024-02-25 9:47:41
U1DA6S40,Doloremque voluptas,team leader,Ayesha Barman,ayeshabarman@example.com,05976726424,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 10:17:00
U293FT2P,Consequuntur corporis,team member,Amira Sidhu,amirasidhu@example.com,+917097859778,M,India,Engineering,B.Tech/BE,Computer Science,Second Year,2026,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University",2024-02-26 13:11:57
U293FT2P,Consequuntur corporis,team leader,Saira Sharma,sairasharma@example.com,+918518779124,M,India,Engineering,B.Tech/BE,Computer Science,Second Year,2026,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University",2024-02-25 11:07:36
U9TP096W,Vero nobis,team leader,Kiara Tata,kiaratata@example.com,02706296979,F,India,Management,2nd-Year MBA,General Management,First Year,2025,"MET Institute of Management (MET), Mumbai",2024-02-25 11:34:26
UL9U09D5,Ea possimus,team leader,Mohanlal Bhandari,mohanlalbhandari@example.com,5415737328,M,India,Engineering,B.Tech/BE,Computer Science,Fourth Year,2024,"VSM's Somashekhar R Kothiwale Institute of Technology, Nipani, Karnataka",2024-02-25 11:56:03
U7T83Y2P,Provident sint,team leader,Tarini Comar,tarinicomar@example.com,0346861169,M,India,Management,BBA (Graduation),Sales & MarketingÂ Management,Second Year,2025,"Chhatrapati Shahu Ji Maharaj University (CSJMU), Kanpur",2024-02-25 12:05:30
UC87A18P,Rem adipisci,team leader,Urvi Ben,urviben@example.com,6364759102,M,India,Engineering,B.Tech/BE,Computer Science,,2022,"Accurate Institute of Management And Technology (AIMT), Greater Noida",2024-02-25 13:46:47
